kanji	on'yomi	kun'yomi	meaning	practice_data
商	ショウ	あきな・う	make a deal, selling, dealing in, merchant	[0_0_0_0_0_0_NEW]
問	モン	と・う、と・い、とん	question, ask, problem	[0_0_0_0_0_0_NEW]
啓	ケイ		disclose, open, say	[0_0_0_0_0_0_NEW]
善	ゼン	よ・い	virtuous, good, goodness	[0_0_0_0_0_0_NEW]
喚	カン		yell, cry, scream	[0_0_0_0_0_0_NEW]
喜	キ	よろこ・ぶ	rejoice, take pleasure in	[0_0_0_0_0_0_NEW]
喝	カツ		hoarse, scold	[0_0_0_0_0_0_NEW]
喪	ソウ	も	miss, mourning	[0_0_0_0_0_0_NEW]
喫	キツ		consume, eat, drink, smoke, receive (a blow)	[0_0_0_0_0_0_NEW]
営	エイ	いとな・む	occupation, camp, perform, build, conduct (business)	[0_0_0_0_0_0_NEW]
å—£	ã'·		heir, succeed	[0_0_0_0_0_0_NEW]
嘆	タン	なげ・く、なげ・かわしい	sigh, lament, moan, grieve	[0_0_0_0_0_0_NEW]
嘱	ショク		entrust, request, send a message	[0_0_0_0_0_0_NEW]
器	キ	うつわ	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set	[0_0_0_0_0_0_NEW]
噴	フン	ふ・く	erupt, spout, emit, flush out	[0_0_0_0_0_0_NEW]
嚇	カク		menacing, dignity, majesty, threaten	[0_0_0_0_0_0_NEW]
囚	シュウ		captured, criminal, arrest, catch	[0_0_0_0_0_0_NEW]
四	シ	よ、よ・つ、よっ・つ、よん	four	[0_0_0_0_0_0_NEW]
回	カイ、エ	まわ・る、まわ・す	-times, round, game, revolve	[0_0_0_0_0_0_NEW]
å› 	イン	よ・る	cause, factor, be associated with, depend on, be limited to	[0_0_0_0_0_0_NEW]
団	ダン、トン		group, association	[0_0_0_0_0_0_NEW]
困	コン	こま・る	quandary, become distressed, annoyed	[0_0_0_0_0_0_NEW]
囲	イ	かこ・む、かこ・う	surround, besiege, store, paling, enclosure, encircle, preserve, keep	[0_0_0_0_0_0_NEW]
図	ズ、ト	はか・る	map, drawing, plan, unexpected, accidentally, diagram	[0_0_0_0_0_0_NEW]
固	コ	かた・める、かた・まる、かた・い	harden, set, clot, curdle	[0_0_0_0_0_0_NEW]
国	コク	くに	country	[0_0_0_0_0_0_NEW]
圏	ケン		sphere, circle, radius, range	[0_0_0_0_0_0_NEW]
園	エン	その	park, garden, yard, farm	[0_0_0_0_0_0_NEW]
土	ド、ト	つち	earth, soil, ground	[0_0_0_0_0_0_NEW]
圧	アツ		pressure, push, overwhelm, oppress, dominate	[0_0_0_0_0_0_NEW]
在	ザイ	あ・る	exist, outskirts, suburbs, located in	[0_0_0_0_0_0_NEW]
地	チ、ジ		ground, earth	[0_0_0_0_0_0_NEW]
坂	ハン	さか	slope, incline, hill	[0_0_0_0_0_0_NEW]
均	キン		level, average	[0_0_0_0_0_0_NEW]
坊	ボウ、ボッ		boy, priest's residence, priest, your, his, or her boy	[0_0_0_0_0_0_NEW]
坑	コウ		pit, hole	[0_0_0_0_0_0_NEW]
坪		つぼ	two-mat area, ~36 sq ft	[0_0_0_0_0_0_NEW]
垂	スイ	た・れる、た・らす	droop, suspend, hang, slouch	[0_0_0_0_0_0_NEW]
型	ケイ	かた	mould, type, model	[0_0_0_0_0_0_NEW]
垣		かき	hedge, fence, wall	[0_0_0_0_0_0_NEW]
埋	マイ	う・める、う・まる、う・もれる	bury, be filled up, embedded	[0_0_0_0_0_0_NEW]
城	ジョウ	しろ	castle	[0_0_0_0_0_0_NEW]
域	イキ		range, region, limits, stage, level	[0_0_0_0_0_0_NEW]
執	シツ、シュウ	と・る	tenacious, take hold, grasp, take to heart	[0_0_0_0_0_0_NEW]
培	バイ	つちか・う	cultivate, foster	[0_0_0_0_0_0_NEW]
基	キ	もと、もとい	fundamentals, radical (chem), counter for machines, foundation	[0_0_0_0_0_0_NEW]
å €		ほり	ditch, moat, canal	[0_0_0_0_0_0_NEW]
å '	ドウ		temple, shrine, hall	[0_0_0_0_0_0_NEW]
å …	ケン	かた・い	strict, hard, solid, tough, tight, reliable	[0_0_0_0_0_0_NEW]
å •	ダ		degenerate, descend to, lapse into	[0_0_0_0_0_0_NEW]
å ¤	テイ	つつみ	dike, bank, embankment	[0_0_0_0_0_0_NEW]
å ª	カン	た・える	withstand, endure, support, resist	[0_0_0_0_0_0_NEW]
å ±	ホウ	むく・いる	report, news, reward, retribution	[0_0_0_0_0_0_NEW]
å ´	ジョウ	ば	location, place	[0_0_0_0_0_0_NEW]
塀	ヘイ		fence, also N1103, wall	[0_0_0_0_0_0_NEW]
塁	ルイ		bases, fort, rampart, walls, base(ball)	[0_0_0_0_0_0_NEW]
塊	カイ	かたまり	clod, lump, chink, clot, mass	[0_0_0_0_0_0_NEW]
塑	ソ		model, molding	[0_0_0_0_0_0_NEW]
塔	トウ		pagoda, tower, steeple	[0_0_0_0_0_0_NEW]
塗	ト	ぬ・る	paint, plaster, daub, smear, coating	[0_0_0_0_0_0_NEW]
塚		つか	hillock, mound	[0_0_0_0_0_0_NEW]
塩	エン	しお	salt	[0_0_0_0_0_0_NEW]
塾	ジュク		cram school, private school	[0_0_0_0_0_0_NEW]
境	キョウ、ケイ	さかい	boundary, border, region	[0_0_0_0_0_0_NEW]
墓	ボ	はか	grave, tomb	[0_0_0_0_0_0_NEW]
増	ゾウ	ま・す、ふ・える、ふ・やす	increase, add, augment, gain, promote	[0_0_0_0_0_0_NEW]
墜	ツイ		crash, fall (down)	[0_0_0_0_0_0_NEW]
墨	ボク	すみ	black ink, India ink, ink stick, Mexico	[0_0_0_0_0_0_NEW]
墳	フン		tomb, mound	[0_0_0_0_0_0_NEW]
墾	コン		ground-breaking, open up farmland	[0_0_0_0_0_0_NEW]
壁	ヘキ	かべ	wall, lining (stomach), fence	[0_0_0_0_0_0_NEW]
壇	ダン、タン		podium, stage, rostrum, terrace	[0_0_0_0_0_0_NEW]
壊	カイ	こわ・す、こわ・れる	demolition, break, destroy	[0_0_0_0_0_0_NEW]
壌	ジョウ		lot, earth, soil	[0_0_0_0_0_0_NEW]
士	シ		gentleman, samurai	[0_0_0_0_0_0_NEW]
壮	ソウ		robust, manhood, prosperity	[0_0_0_0_0_0_NEW]
声	セイ、ショウ	こえ、こわ	voice	[0_0_0_0_0_0_NEW]
壱	イチ		I (one)	[0_0_0_0_0_0_NEW]
売	バイ	う・る、う・れる	sell	[0_0_0_0_0_0_NEW]
変	ヘン	か・わる、か・える	unusual, change, strange	[0_0_0_0_0_0_NEW]
夏	カ、ゲ	なつ	summer	[0_0_0_0_0_0_NEW]
夕	セキ	ゆう	evening	[0_0_0_0_0_0_NEW]
外	ガイ、ゲ	そと、ほか、はず・す、はず・れる	outside	[0_0_0_0_0_0_NEW]
多	タ	おお・い	many, frequent, much	[0_0_0_0_0_0_NEW]
夜	ヤ	よ、よる	night, evening	[0_0_0_0_0_0_NEW]
夢	ム	ゆめ	dream, vision, illusion	[0_0_0_0_0_0_NEW]
大	ダイ、タイ	おお、おお・きい、おお・いに	large, big	[0_0_0_0_0_0_NEW]
天	テン	あめ、あま	heavens, sky, imperial	[0_0_0_0_0_0_NEW]
太	タイ、タ	ふと・い、ふと・る	plump, thick, big around	[0_0_0_0_0_0_NEW]
夫	フ、フウ	おっと	husband, man	[0_0_0_0_0_0_NEW]
央	オウ		center, middle	[0_0_0_0_0_0_NEW]
失	シツ	うしな・う	lose, error, fault, disadvantage, loss	[0_0_0_0_0_0_NEW]
奇	キ		strange, strangeness, curiousity	[0_0_0_0_0_0_NEW]
奉	ホウ、ブ	たてまつ・る	observance, offer, present, dedicate	[0_0_0_0_0_0_NEW]
奏	ソウ	かな・でる	play music, speak to a ruler, complete	[0_0_0_0_0_0_NEW]
契	ケイ	ちぎ・る	pledge, promise, vow	[0_0_0_0_0_0_NEW]
奔	ホン		bustle, run	[0_0_0_0_0_0_NEW]
奥	オウ	おく	heart, interior	[0_0_0_0_0_0_NEW]
奨	ショウ		exhort, urge, encourage	[0_0_0_0_0_0_NEW]
奪	ダツ	うば・う	rob, take by force, snatch away, dispossess, plunder, usurp	[0_0_0_0_0_0_NEW]
奮	フン	ふる・う	stirred up, be invigorated, flourish	[0_0_0_0_0_0_NEW]
女	ジョ、ニョ、ニョウ	おんな、め	woman, female	[0_0_0_0_0_0_NEW]
奴	ド		guy, slave, manservant, fellow	[0_0_0_0_0_0_NEW]
好	コウ	この・む、す・く	fond, pleasing, like something	[0_0_0_0_0_0_NEW]
如	ジョ、ニョ		likeness, like, such as, as if, better, best, equal	[0_0_0_0_0_0_NEW]
妃	ヒ		queen, princess	[0_0_0_0_0_0_NEW]
妄	モウ、ボウ		delusion, unnecessarily, without authority, reckless	[0_0_0_0_0_0_NEW]
妊	ニン		pregnancy	[0_0_0_0_0_0_NEW]
妙	ミョウ		exquisite, strange, queer, mystery, miracle, excellent, delicate, charming	[0_0_0_0_0_0_NEW]
妥	ダ		gentle, peace, depravity	[0_0_0_0_0_0_NEW]
妨	ボウ	さまた・げる	disturb, prevent, hamper, obstruct	[0_0_0_0_0_0_NEW]
妹	マイ	いもうと	younger sister	[0_0_0_0_0_0_NEW]
妻	サイ	つま	wife, spouse	[0_0_0_0_0_0_NEW]
姉	シ	あね	elder sister	[0_0_0_0_0_0_NEW]
始	シ	はじ・める、はじ・まる	commence, begin	[0_0_0_0_0_0_NEW]
姓	セイ、ショウ		surname	[0_0_0_0_0_0_NEW]
委	イ		committee, entrust to, leave to, devote, discard	[0_0_0_0_0_0_NEW]
姫		ひめ	princess	[0_0_0_0_0_0_NEW]
姻	イン		matrimony, marry	[0_0_0_0_0_0_NEW]
姿	シ	すがた	figure, form, shape	[0_0_0_0_0_0_NEW]
威	イ		intimidate, dignity, majesty, menace, threaten	[0_0_0_0_0_0_NEW]
娘		むすめ	daughter, girl	[0_0_0_0_0_0_NEW]
å¨ 	シン		with child, pregnancy	[0_0_0_0_0_0_NEW]
娯	ゴ		recreation, pleasure	[0_0_0_0_0_0_NEW]
婆	バ		old woman, grandma, wet nurse	[0_0_0_0_0_0_NEW]
婚	コン		marriage	[0_0_0_0_0_0_NEW]
婦	フ		lady, woman, wife, bride	[0_0_0_0_0_0_NEW]
婿	セイ	むこ	bridegroom, son-in-law	[0_0_0_0_0_0_NEW]
媒	バイ		mediator, go-between	[0_0_0_0_0_0_NEW]
嫁	カ	よめ、とつ・ぐ	marry into, bride	[0_0_0_0_0_0_NEW]
嫌	ケン、ゲン	きら・う、いや	dislike, detest, hate	[0_0_0_0_0_0_NEW]
嫡	チャク		legitimate wife, direct descent (non-bastard)	[0_0_0_0_0_0_NEW]
嬢	ジョウ		lass, girl, Miss, daughter	[0_0_0_0_0_0_NEW]
子	シ、ス	こ	child	[0_0_0_0_0_0_NEW]
孔	コウ		cavity, hole, slit, very, great, exceedingly	[0_0_0_0_0_0_NEW]
字	ジ	あざ	character, letter, word, section of village	[0_0_0_0_0_0_NEW]
存	ソン、ゾン		suppose, be aware of, believe, feel	[0_0_0_0_0_0_NEW]
孝	コウ		filial piety, child's respect	[0_0_0_0_0_0_NEW]
å­£	ã'­		seasons	[0_0_0_0_0_0_NEW]
孤	コ		orphan, alone	[0_0_0_0_0_0_NEW]
学	ガク	まな・ぶ	study, learning, science	[0_0_0_0_0_0_NEW]
孫	ソン	まご	grandchild, descendants	[0_0_0_0_0_0_NEW]
宅	タク		home, house, residence, our house, my husband	[0_0_0_0_0_0_NEW]
宇	ウ		eaves, roof, house, heaven	[0_0_0_0_0_0_NEW]
守	シュ、ス	まも・る、もり	guard, protect, defend, obey	[0_0_0_0_0_0_NEW]
安	アン	やす・い	relax, cheap, low, quiet, rested, contented, peaceful	[0_0_0_0_0_0_NEW]
完	カン		perfect, completion, end	[0_0_0_0_0_0_NEW]
宗	シュウ、ソウ		religion, sect, denomination, main point, origin, essence	[0_0_0_0_0_0_NEW]
官	カン		bureaucrat, the government	[0_0_0_0_0_0_NEW]
宙	チュウ		mid-air, air, space, sky, memorization, interval of time	[0_0_0_0_0_0_NEW]
定	テイ、ジョウ	さだ・める、さだ・まる、さだ・か	determine, fix, establish, decide	[0_0_0_0_0_0_NEW]
宜	ギ		best regards, good	[0_0_0_0_0_0_NEW]
宝	ホウ	たから	treasure, wealth, valuables	[0_0_0_0_0_0_NEW]
実	ジツ	み、みの・る	reality, truth	[0_0_0_0_0_0_NEW]
客	キャク、カク		guest, visitor, customer, client	[0_0_0_0_0_0_NEW]
宣	セン		proclaim, say, announce	[0_0_0_0_0_0_NEW]
室	シツ	むろ	room, apartment, chamber, greenhouse, cellar	[0_0_0_0_0_0_NEW]
宮	キュウ、グウ、ク	みや	Shinto shrine, constellations, palace, princess	[0_0_0_0_0_0_NEW]
宰	サイ		superintend, manager, rule	[0_0_0_0_0_0_NEW]
害	ガイ		harm, injury	[0_0_0_0_0_0_NEW]
宴	エン		banquet, feast, party	[0_0_0_0_0_0_NEW]
宵	ショウ	よい	wee hours, evening, early night	[0_0_0_0_0_0_NEW]
家	カ、ケ	いえ、や	house, home	[0_0_0_0_0_0_NEW]
容	ヨウ		contain, form, looks	[0_0_0_0_0_0_NEW]
宿	シュク	やど、やど・る、やど・す	inn, lodging, relay station, dwell, lodge, be pregnant, home, dwelling	[0_0_0_0_0_0_NEW]
寂	ジャク、セキ	さび、さび・しい、さび・れる	loneliness, quietly, mellow, mature, death of a priest	[0_0_0_0_0_0_NEW]
寄	キ	よ・る、よ・せる	draw near, stop in, bring near, gather, collect, send, forward	[0_0_0_0_0_0_NEW]
密	ミツ		secrecy, density (pop), minuteness, carefulness	[0_0_0_0_0_0_NEW]
富	フ、フウ	と・む、とみ	wealth, enrich, abundant	[0_0_0_0_0_0_NEW]
寒	カン	さむ・い	cold	[0_0_0_0_0_0_NEW]
寛	カン		tolerant, leniency, generosity, relax, feel at home, be at ease, broadminded	[0_0_0_0_0_0_NEW]
寝	シン	ね・る、ね・かす	lie down, sleep, rest, bed, remain unsold	[0_0_0_0_0_0_NEW]
察	サツ		guess, presume, surmise, judge, understand	[0_0_0_0_0_0_NEW]
寡	カ		widow, minority, few	[0_0_0_0_0_0_NEW]
寧	ネイ		rather, preferably	[0_0_0_0_0_0_NEW]
審	シン		hearing, judge, trial	[0_0_0_0_0_0_NEW]
寮	リョウ		dormitory, hostel, villa, tea pavillion	[0_0_0_0_0_0_NEW]
寸	スン		measurement, foot/10	[0_0_0_0_0_0_NEW]
寺	ジ	てら	Buddhist temple	[0_0_0_0_0_0_NEW]
対	タイ、ツイ		vis-a-vis, opposite, even, equal, versus, anti-, compare	[0_0_0_0_0_0_NEW]
寿	ジュ	ことぶき	longevity, congratulations, ones natural life	[0_0_0_0_0_0_NEW]
封	フウ・ホウ		seal, closing	[0_0_0_0_0_0_NEW]
専	セン	もっぱ・ら	specialty, exclusive, mainly, solely	[0_0_0_0_0_0_NEW]
射	シャ	い・る	shoot, shine into, onto, archery	[0_0_0_0_0_0_NEW]
将	ショウ		leader, commander, general, admiral, or, and again, soon, from now on, just about	[0_0_0_0_0_0_NEW]
尉	イ		military officer, jailer, old man, rank	[0_0_0_0_0_0_NEW]
尊	ソン	たっと・い、とうと・い、たっと・ぶ、とうと・ぶ	revered, valuable, precious, noble, exalted	[0_0_0_0_0_0_NEW]
尋	ジン	たず・ねる	inquire, fathom, look for	[0_0_0_0_0_0_NEW]
導	ドウ	みちび・く	lead, guide	[0_0_0_0_0_0_NEW]
小	ショウ	ちい・さい、こ、お	little, small	[0_0_0_0_0_0_NEW]
少	ショウ	すく・ない、すこ・し	few, little	[0_0_0_0_0_0_NEW]
尚	ショウ		esteem, furthermore, still, yet	[0_0_0_0_0_0_NEW]
就	シュウ、ジュ	つ・ける、つ・く	concerning, settle, take position, depart, study, per	[0_0_0_0_0_0_NEW]
尺	シャク		shaku, Japanese foot, measure, scale, rule	[0_0_0_0_0_0_NEW]
尼	ニ	あま	nun	[0_0_0_0_0_0_NEW]
尽	ジン	つ・くす、つ・きる、つ・かす	exhaust, use up, run out of, befriend, serve	[0_0_0_0_0_0_NEW]
尾	ビ	お	tail, end, no. of fish, lower slope of mtn	[0_0_0_0_0_0_NEW]
尿	ニョウ		urine	[0_0_0_0_0_0_NEW]
局	キョク		bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment	[0_0_0_0_0_0_NEW]
居	キョ	い・る	reside, to be, exist, live with	[0_0_0_0_0_0_NEW]
屈	クツ		yield, bend, flinch, submit	[0_0_0_0_0_0_NEW]
届		とど・ける、とど・く	deliver, reach, arrive, report, notify, forward	[0_0_0_0_0_0_NEW]
屋	オク	や	roof, house, shop, dealer, seller	[0_0_0_0_0_0_NEW]
展	テン		unfold, expand	[0_0_0_0_0_0_NEW]
属	ゾク		belong, genus, subordinate official, affiliated	[0_0_0_0_0_0_NEW]
層	ソウ		stratum, social class, layer, story, floor	[0_0_0_0_0_0_NEW]
履	リ	は・く	footgear, shoes, boots, put on (the feet	[0_0_0_0_0_0_NEW]
屯	トン		barracks, police station, camp	[0_0_0_0_0_0_NEW]
山	サン	やま	mountain	[0_0_0_0_0_0_NEW]
岐	キ		branch off, fork in road, scene, arena, theater	[0_0_0_0_0_0_NEW]
岩	ガン	いわ	boulder, rock, cliff	[0_0_0_0_0_0_NEW]
岬	コウ	みさき	headland, cape, spit, promontory	[0_0_0_0_0_0_NEW]
岳	ガク	たけ	point, peak, mountain	[0_0_0_0_0_0_NEW]
岸	ガン	きし	beach	[0_0_0_0_0_0_NEW]
å³ 		とうげ	mountain peak, mountain pass, climax, crest, (kokuji)	[0_0_0_0_0_0_NEW]
峡	キョウ		gorge, ravine	[0_0_0_0_0_0_NEW]
峰	ホウ	みね	summit, peak	[0_0_0_0_0_0_NEW]
島	トウ	しま	island	[0_0_0_0_0_0_NEW]
崇	スウ		adore, respect, revere, worship	[0_0_0_0_0_0_NEW]
崎		さき	promontory, cape, spit	[0_0_0_0_0_0_NEW]
崩	ホウ	くず・れる、くず・す	crumble, die, demolish, level	[0_0_0_0_0_0_NEW]
川	セン	かわ	stream, river	[0_0_0_0_0_0_NEW]
州	シュウ	す	state, province	[0_0_0_0_0_0_NEW]
巡	ジュン	めぐ・る	patrol, go around, circumference	[0_0_0_0_0_0_NEW]
巣	ソウ	す	nest, rookery, hive, cobweb, den	[0_0_0_0_0_0_NEW]
工	コウ、ク		craft, construction	[0_0_0_0_0_0_NEW]
左	サ	ひだり	left	[0_0_0_0_0_0_NEW]
巧	コウ	たく・み	adroit, skilled, ingenuity	[0_0_0_0_0_0_NEW]
巨	キョ		gigantic, big, large, great	[0_0_0_0_0_0_NEW]
差	サ	さ・す	distinction, difference, variation, discrepancy, margin, balance	[0_0_0_0_0_0_NEW]
己	コ、キ	おのれ	self, snake, serpent	[0_0_0_0_0_0_NEW]
巻	カン	ま・く、ま・き	scroll, volume, book, part, roll up, wind up, tie, coil	[0_0_0_0_0_0_NEW]
市	シ	いち	market, city, town	[0_0_0_0_0_0_NEW]
布	フ	ぬの	linen, cloth	[0_0_0_0_0_0_NEW]
帆	ハン	ほ	sail	[0_0_0_0_0_0_NEW]
希	キ		hope, beg, request, pray, beseech, Greece, dilute (acid), rare, few, phenomenal	[0_0_0_0_0_0_NEW]
帝	テイ		sovereign, the emperor, god, creator	[0_0_0_0_0_0_NEW]
帥	スイ		commander, leading troops, governor	[0_0_0_0_0_0_NEW]
師	シ		expert, teacher, master, army, war	[0_0_0_0_0_0_NEW]
席	セキ		seat, mat, occasion, place	[0_0_0_0_0_0_NEW]
帯	タイ	お・びる、おび	sash, belt, obi, zone, region	[0_0_0_0_0_0_NEW]
帰	キ	かえ・る、かえ・す	homecoming, arrive at, lead to, result in	[0_0_0_0_0_0_NEW]
帳	チョウ		notebook, account book, album	[0_0_0_0_0_0_NEW]
常	ジョウ	つね、とこ	usual, ordinary, normal, regular	[0_0_0_0_0_0_NEW]
帽	ボウ		cap, headgear	[0_0_0_0_0_0_NEW]
幅	フク	はば	hanging scroll, width	[0_0_0_0_0_0_NEW]
幕	マク、バク		curtain, bunting, act of play	[0_0_0_0_0_0_NEW]
幣	ヘイ		cash, bad habit, humble prefix, gift, Shinto offerings of cloth, rope, cut paper	[0_0_0_0_0_0_NEW]
干	カン	ほ・す、ひ・る	dry, parch	[0_0_0_0_0_0_NEW]
平	ヘイ、ビョウ	たい・ら、ひら	even, flat, peace	[0_0_0_0_0_0_NEW]
年	ネン	とし	year	[0_0_0_0_0_0_NEW]
幸	コウ	さいわ・い、さち、しあわ・せ	happiness, blessing, fortune	[0_0_0_0_0_0_NEW]
幹	カン	みき	tree-trunk	[0_0_0_0_0_0_NEW]
幻	ゲン	まぼろし	phantasm, vision, dream, illusion, apparition	[0_0_0_0_0_0_NEW]
幼	ヨウ	おさな・い	infancy, childhood	[0_0_0_0_0_0_NEW]
幽	ユウ		seclude, confine to a room	[0_0_0_0_0_0_NEW]
幾	キ	いく	how many, how much, how far, how long	[0_0_0_0_0_0_NEW]
庁	チョウ		government office	[0_0_0_0_0_0_NEW]
広	コウ		wide, broad, spacious	[0_0_0_0_0_0_NEW]
床	ショウ	とこ、ゆか	bed, floor, padding, tatami	[0_0_0_0_0_0_NEW]
序	ジョ		preface, beginning, order, precedence, occasion, chance, incidentally	[0_0_0_0_0_0_NEW]
底	テイ	そこ	bottom, sole, depth, bottom price, base, kind, sort	[0_0_0_0_0_0_NEW]
店	テン	みせ	store, shop	[0_0_0_0_0_0_NEW]
府	フ		borough, urban prefecture, govt office, representative body, storehouse	[0_0_0_0_0_0_NEW]
度	ド、ト、タク	たび	each, time	[0_0_0_0_0_0_NEW]
座	ザ	すわ・る	squat, seat, cushion, gathering, sit	[0_0_0_0_0_0_NEW]
庫	コ、ク		warehouse, storehouse	[0_0_0_0_0_0_NEW]
庭	テイ	にわ	courtyard, garden, yard	[0_0_0_0_0_0_NEW]
庶	ショ		commoner, all, bastard	[0_0_0_0_0_0_NEW]
康	コウ		ease, peace	[0_0_0_0_0_0_NEW]
庸	ヨウ		commonplace, ordinary, employment	[0_0_0_0_0_0_NEW]
廃	ハイ	すた・れる、すた・る	abolish, obsolete, cessation, discarding, abandon	[0_0_0_0_0_0_NEW]
廉	レン		bargain, reason, charge, suspicion, point, account, purity, honest, low price, cheap, rested, contented, peaceful	[0_0_0_0_0_0_NEW]
廊	ロウ		corridor, hall, tower	[0_0_0_0_0_0_NEW]
延	エン	の・びる、の・べる、の・ばす	prolong, stretching	[0_0_0_0_0_0_NEW]
廷	テイ		courts, imperial court, government office	[0_0_0_0_0_0_NEW]
建	ケン、コン	た・てる、た・つ	build	[0_0_0_0_0_0_NEW]
弁	ベン		valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish	[0_0_0_0_0_0_NEW]
弊	ヘイ		abuse, evil, vice, breakage	[0_0_0_0_0_0_NEW]
式	シキ		style, ceremony, rite, fn, method, system, form, expr	[0_0_0_0_0_0_NEW]
弐	ニ		II, two, second	[0_0_0_0_0_0_NEW]
弓	キュウ	ゆみ	bow, bow (archery, violin)	[0_0_0_0_0_0_NEW]
弔	チョウ	とむら・う	condolences, mourning, funeral	[0_0_0_0_0_0_NEW]
引	イン	ひ・く、ひ・ける	pull, tug, jerk, admit, install, quote, refer to	[0_0_0_0_0_0_NEW]
弟	テイ、ダイ、デ	おとうと	younger brother, faitherful service to elders	[0_0_0_0_0_0_NEW]
弦	ゲン	つる	bowstring, chord, hypotenuse	[0_0_0_0_0_0_NEW]
弧	コ		arc, arch, bow	[0_0_0_0_0_0_NEW]
弱	ジャク	よわ・い、よわ・る、よわ・まる、よわ・める	weak, frail	[0_0_0_0_0_0_NEW]
張	チョウ	は・る	lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)	[0_0_0_0_0_0_NEW]
強	キョウ、ゴウ	つよ・い、つよ・まる、つよ・める、し・いる	strong	[0_0_0_0_0_0_NEW]
弾	ダン	ひ・く、はず・む、たま	bullet, twang, flip, snap	[0_0_0_0_0_0_NEW]
当	トウ	あ・たる、あ・てる	hit, right, appropriate, himself	[0_0_0_0_0_0_NEW]
形	ケイ、ギョウ	かた、かたち	shape, form, style	[0_0_0_0_0_0_NEW]
彩	サイ	いろど・る	coloring, paint, makeup	[0_0_0_0_0_0_NEW]
彫	チョウ	ほ・る	carve, engrave, chisel	[0_0_0_0_0_0_NEW]
彰	ショウ		patent, clear	[0_0_0_0_0_0_NEW]
影	エイ	かげ	shadow, silhouette, phantom	[0_0_0_0_0_0_NEW]
役	ヤク、エキ		duty, war, campaign, drafted labor, office, service, role	[0_0_0_0_0_0_NEW]
彼	ヒ	かれ、かの	he, that, the	[0_0_0_0_0_0_NEW]
往	オウ		journey, chase away, let go, going, travel	[0_0_0_0_0_0_NEW]
征	セイ		subjugate, attack the rebellious, collect taxes	[0_0_0_0_0_0_NEW]
径	ケイ		diameter, path, method	[0_0_0_0_0_0_NEW]
待	タイ	ま・つ	wait, depend on	[0_0_0_0_0_0_NEW]
律	リツ、リチ		rhythm, law, regulation, gauge, control	[0_0_0_0_0_0_NEW]
後	ゴ、コウ	のち、うし・ろ、あと、おく・れる	behind, back, later	[0_0_0_0_0_0_NEW]
徐	ジョ		gradually, slowly, deliberately, gently	[0_0_0_0_0_0_NEW]
徒	ト		junior, emptiness, vanity, futility, uselessness, ephemeral thing, gang, set, party, people	[0_0_0_0_0_0_NEW]
従	ジュウ、ショウ、ジュ	したが・う、したが・える	accompany, obey, submit to, comply, follow, secondary, incidental, subordinate	[0_0_0_0_0_0_NEW]
得	トク	え・る、う・る	gain, get, find, earn, acquire, can, may, able to, profit, advantage, benefit	[0_0_0_0_0_0_NEW]
御	ギョ、ゴ	おん	honorable, manipulate, govern	[0_0_0_0_0_0_NEW]
復	フク		restore, return to, revert, resume	[0_0_0_0_0_0_NEW]
循	ジュン		sequential, fellow	[0_0_0_0_0_0_NEW]
微	ビ		delicate, minuteness, insignificance	[0_0_0_0_0_0_NEW]
徳	トク		benevolence, virtue, goodness, commanding respect	[0_0_0_0_0_0_NEW]
徴	チョウ		indications, sign, omen, symptom, collect, seek, refer to, question	[0_0_0_0_0_0_NEW]
徹	テツ		penetrate, clear, pierce, strike home, sit up (all night)	[0_0_0_0_0_0_NEW]
心	シン	こころ	heart, mind, spirit	[0_0_0_0_0_0_NEW]
必	ヒツ	かなら・ず	invariably, certain, inevitable, necessarily	[0_0_0_0_0_0_NEW]
忌	キ	い・む、い・まわしい	mourning, abhor, detestable, death anniversary	[0_0_0_0_0_0_NEW]
忍	ニン	しの・ぶ、しの・ばせる	endure, bear, put up with, conceal, secrete, spy, sneak	[0_0_0_0_0_0_NEW]
志	シ	こころざ・す、こころざし	intention, plan, resolve, aspire, motive, hopes, shilling	[0_0_0_0_0_0_NEW]
忘	ボウ	わす・れる	forget	[0_0_0_0_0_0_NEW]
忙	ボウ	いそが・しい	busy, occupied, restless	[0_0_0_0_0_0_NEW]
応	オウ		apply, answer, yes, OK, reply, accept	[0_0_0_0_0_0_NEW]
å¿ 	チュウ		loyalty, fidelity, faithfulness	[0_0_0_0_0_0_NEW]
快	カイ	こころよ・い	cheerful, pleasant, agreeable, comfortable	[0_0_0_0_0_0_NEW]
念	ネン		wish, sense, idea, thought, feeling, desire, attention	[0_0_0_0_0_0_NEW]
怒	ド	いか・る、おこ・る	angry	[0_0_0_0_0_0_NEW]
怖	フ	こわ・い	dreadful, be frightened, fearful	[0_0_0_0_0_0_NEW]
思	シ	おも・う	think	[0_0_0_0_0_0_NEW]
æ€ 	タイ	おこた・る、なま・ける	neglect, laziness	[0_0_0_0_0_0_NEW]
急	キュウ	いそ・ぐ	hurry, emergency, sudden, steep	[0_0_0_0_0_0_NEW]
性	セイ、ショウ		sex, gender, nature	[0_0_0_0_0_0_NEW]
